# MA0,MH0,MHch,lam2,laml
2.17504e+02,1.28141e+02,1.13053e+02,8.96550e+00,-5.85100e+00
8.87643e+01,5.79150e+01,2.41610e+02,4.73756e+00,-5.33478e+00
1.98946e+02,1.82647e+02,2.27142e+02,5.89153e+00,-3.85911e+00
2.14951e+02,6.03719e+01,5.31739e+01,8.75190e+00,-3.07041e+00
1.27994e+02,9.65444e+01,2.44960e+02,9.45800e+00,-2.83304e+00
1.92463e+02,9.84335e+01,2.03434e+02,7.14782e+00,-1.92811e+00
1.05698e+02,1.40187e+02,1.63777e+02,1.85475e+00,-4.82897e-01
9.03523e+01,2.33340e+02,1.93352e+02,9.22202e+00,-2.24548e-01
1.76752e+02,1.73758e+02,5.95042e+01,4.78860e+00,4.19071e-01
1.56864e+02,1.07215e+02,7.65279e+01,3.05416e+00,1.49769e+00
1.72018e+02,6.87552e+01,8.66291e+01,5.78483e+00,2.54398e+00
6.60640e+01,6.14241e+01,2.30374e+02,7.07488e+00,3.12848e+00
1.06399e+02,2.37611e+02,6.88072e+01,1.25216e+01,3.96970e+00
2.26099e+02,1.50418e+02,1.44753e+02,9.87548e-01,5.28008e+00
1.19596e+02,2.40503e+02,8.00223e+01,1.36838e+00,5.82217e+00
2.28606e+02,1.86968e+02,3.00002e+02,4.13832e+00,-5.46337e+00
2.26356e+02,1.30600e+02,3.48039e+02,8.86484e+00,-4.73772e+00
8.49700e+01,2.02332e+02,3.32261e+02,1.20254e+01,-4.53973e+00
2.09325e+02,2.43598e+02,3.03975e+02,1.08852e+01,-3.27956e+00
1.21493e+02,7.27154e+01,3.90779e+02,1.23033e+01,-2.26651e+00
1.14673e+02,1.93999e+02,3.74175e+02,5.38305e+00,-1.93687e+00
8.00651e+01,1.29777e+02,4.34227e+02,1.18776e+01,-1.19772e+00
1.36065e+02,2.39964e+02,3.79653e+02,3.54137e+00,-3.07119e-01
1.60592e+02,2.17434e+02,3.24739e+02,7.31471e+00,6.97599e-01
1.98252e+02,2.42116e+02,4.15814e+02,3.82646e+00,2.01947e+00
2.43421e+02,5.36803e+01,3.90852e+02,2.08442e+00,2.38288e+00
1.32944e+02,1.90495e+02,3.93889e+02,6.03207e+00,3.27400e+00
1.78760e+02,2.18346e+02,3.07538e+02,4.36686e+00,4.20735e+00
2.22685e+02,1.07293e+02,2.53865e+02,7.72231e+00,5.11882e+00
1.46316e+02,1.16072e+02,4.18601e+02,8.64300e+00,5.74257e+00
2.41684e+02,1.48898e+02,6.38975e+02,6.10932e+00,-5.69903e+00
6.26588e+01,1.86326e+02,4.52178e+02,7.32526e+00,-5.26420e+00
9.91241e+01,1.62065e+02,5.78116e+02,4.15715e+00,-4.10693e+00
2.11151e+02,1.96631e+02,4.71481e+02,4.95871e-01,-3.15161e+00
2.31883e+02,2.31177e+02,5.35319e+02,4.80598e+00,-2.30581e+00
1.13000e+02,8.21622e+01,6.25812e+02,1.75444e+00,-1.31987e+00
8.88575e+01,2.16651e+02,5.79473e+02,4.00941e+00,-6.76569e-01
7.93520e+01,1.37051e+02,6.14847e+02,5.18745e+00,-9.99756e-02
1.14988e+02,1.20484e+02,4.49181e+02,8.01222e+00,1.18753e+00
2.23045e+02,1.52440e+02,4.59455e+02,7.31297e+00,1.85776e+00
5.41671e+01,1.38832e+02,5.39558e+02,5.48655e-01,2.23612e+00
8.67583e+01,8.70303e+01,5.29779e+02,2.71617e+00,3.65953e+00
2.24264e+02,9.50913e+01,6.32859e+02,6.75799e+00,4.34249e+00
8.44037e+01,2.42635e+02,4.81517e+02,1.01617e+01,5.25357e+00
8.85205e+01,1.90696e+02,5.79709e+02,3.50566e+00,6.09266e+00
1.35796e+02,7.47654e+01,7.77272e+02,5.31363e+00,-5.93918e+00
1.29457e+02,1.67092e+02,7.11577e+02,8.61952e+00,-5.34095e+00
6.38965e+01,1.83004e+02,6.83935e+02,1.27913e+00,-4.58499e+00
1.26102e+02,2.21317e+02,7.56645e+02,2.61203e+00,-3.17702e+00
1.66327e+02,2.24666e+02,7.20574e+02,4.84068e+00,-2.47556e+00
1.23484e+02,1.37369e+02,7.68004e+02,4.58615e+00,-1.75389e+00
1.80514e+02,1.66054e+02,6.51636e+02,1.24791e+01,-8.32653e-01
1.31059e+02,2.07819e+02,7.62596e+02,1.98843e+00,-1.58251e-04
1.28001e+02,5.01606e+01,6.41015e+02,3.05824e+00,7.05150e-01
8.37112e+01,1.78797e+02,6.66336e+02,7.46929e+00,1.82458e+00
1.83617e+02,1.28974e+02,7.15557e+02,9.74406e-01,2.10264e+00
6.68317e+01,5.95387e+01,6.57561e+02,1.82160e+00,3.33096e+00
1.41765e+02,2.46435e+02,8.03231e+02,1.75107e+00,4.36829e+00
1.86018e+02,8.41398e+01,6.88818e+02,9.21056e+00,4.77304e+00
1.58475e+02,2.32840e+02,7.23877e+02,6.95411e+00,6.05445e+00
1.77827e+02,6.16263e+01,8.87725e+02,2.10980e+00,-6.10813e+00
2.16454e+02,1.57704e+02,1.02917e+03,1.35674e+00,-5.43444e+00
1.49179e+02,1.54928e+02,8.42617e+02,5.38585e+00,-4.23088e+00
2.12609e+02,1.55199e+02,9.90107e+02,1.00050e+01,-3.00439e+00
1.78129e+02,2.46360e+02,1.00619e+03,8.29676e+00,-2.10585e+00
1.64474e+02,9.76077e+01,1.00985e+03,4.13582e+00,-1.77687e+00
1.36218e+02,1.93907e+02,9.12461e+02,9.24030e+00,-8.55035e-01
1.90861e+02,1.51550e+02,9.04404e+02,2.51740e+00,-4.36217e-02
1.88350e+02,2.21443e+02,8.37767e+02,1.15694e+01,6.27710e-01
1.51669e+02,7.77422e+01,9.21471e+02,1.04145e+01,2.00108e+00
2.19990e+02,2.25032e+02,8.47832e+02,7.84562e+00,2.24026e+00
1.40012e+02,9.38662e+01,9.12044e+02,6.96334e+00,3.67372e+00
6.17808e+01,1.21085e+02,9.75008e+02,1.14388e+00,4.38106e+00
