# MA0,MH0,MHch,lam2,laml
2.72050e+03,2.45354e+03,2.75618e+03,8.50222e-01,3.51731e+00
1.89618e+03,1.15398e+03,2.30516e+02,5.47779e+00,-2.37703e+00
1.18744e+03,2.90782e+03,1.02390e+03,6.09710e+00,5.57629e-01
2.90219e+03,1.54692e+03,2.88637e+03,7.71002e+00,-2.63126e-02
9.29891e+02,2.41351e+03,1.41632e+03,2.44157e+00,-3.55939e+00
3.03151e+02,1.52927e+03,1.06004e+03,2.01547e+00,1.29558e+00
2.59404e+03,2.77269e+03,1.80663e+03,1.02695e+01,1.55927e+00
2.03831e+03,3.92869e+02,1.44952e+03,1.64629e+00,-2.95256e+00
2.00665e+03,4.85517e+02,6.47238e+02,9.18170e+00,3.68271e+00
2.90114e+03,2.36101e+03,2.03265e+03,7.73448e+00,5.41978e+00
1.94875e+03,1.59496e+03,1.67667e+03,1.39044e-02,5.42241e+00
2.73915e+03,1.14327e+03,1.05135e+03,2.29427e+00,1.63811e-01
9.91276e+02,2.02999e+03,2.07349e+03,1.17677e+01,-4.23576e+00
2.31994e+03,8.33550e+02,2.98784e+03,1.50695e+00,-5.77607e+00
1.03809e+03,2.88391e+02,2.79314e+03,1.85592e+00,-5.31080e+00
2.11465e+03,2.07857e+03,2.57021e+03,5.09857e+00,2.21181e+00
1.53945e+03,9.64019e+02,2.21774e+03,1.63315e+00,4.19944e+00
2.26029e+03,2.88598e+03,5.57902e+01,6.40776e+00,-5.68408e+00
2.03649e+03,2.65738e+03,4.39353e+02,5.20278e+00,-3.45830e+00
8.97533e+02,2.23084e+03,1.26422e+03,1.13903e+01,-3.76114e+00
2.48473e+03,3.91022e+02,6.03486e+02,1.20176e+00,-3.04420e+00
1.03428e+03,2.44317e+03,2.70793e+03,3.00434e+00,-2.95147e+00
2.29568e+03,1.85036e+03,1.97431e+03,9.84544e+00,-3.04992e+00
2.22094e+03,1.93376e+03,1.00468e+03,3.24026e+00,2.85891e+00
1.24733e+03,2.22865e+03,2.62154e+03,4.60793e+00,2.82650e+00
1.24286e+03,8.10471e+02,2.95276e+03,1.06944e+01,-4.29809e+00
2.89106e+03,1.41151e+03,7.37666e+02,1.07540e+01,4.49867e+00
7.84342e+02,7.45101e+02,2.08535e+03,7.79432e+00,-6.20453e+00
2.66153e+03,1.07174e+03,1.83542e+03,1.14801e+01,-2.89950e+00
1.67241e+03,1.52454e+03,1.46635e+03,7.53228e+00,-3.67331e+00
2.74098e+03,2.74139e+03,2.74856e+03,4.20004e+00,1.06120e-01
2.69760e+03,2.83034e+02,2.42916e+02,4.63625e+00,3.33679e+00
8.18201e+02,4.55759e+02,2.46645e+03,7.42067e+00,1.74920e+00
4.68940e+02,8.58737e+02,1.52235e+03,5.03340e+00,4.40195e+00
1.63365e+03,2.94947e+03,1.27031e+03,9.17099e+00,2.03669e+00
1.89552e+03,6.52107e+02,8.50656e+02,1.18579e+01,-2.51892e+00
2.93070e+03,1.03462e+03,2.55017e+03,8.61812e+00,1.30651e+00
1.97285e+03,9.95884e+01,1.92579e+03,1.83286e+00,-2.07006e-01
2.85723e+02,1.12047e+03,1.92175e+03,2.19020e+00,-3.46123e+00
2.12818e+03,5.57856e+02,9.88349e+02,6.79982e+00,-2.52526e+00
2.02614e+03,1.85494e+03,1.74935e+03,1.06012e+01,-2.02879e+00
2.09515e+03,7.78393e+02,2.73048e+03,6.36668e+00,-2.74977e+00
2.59949e+03,1.34309e+03,1.00089e+03,8.69339e+00,-6.06576e+00
2.86401e+03,1.30024e+03,5.86297e+02,4.95507e+00,-9.44241e-01
2.20684e+03,1.27090e+03,1.89265e+03,3.35275e+00,-4.28329e+00
1.07934e+03,2.28393e+03,2.60900e+03,1.16457e+01,4.68753e+00
5.55166e+02,1.67057e+03,2.35368e+03,1.02574e+01,7.36968e-01
8.89872e+02,2.46579e+02,3.70490e+02,7.09362e-01,4.40340e+00
2.83722e+03,1.01936e+03,2.57278e+03,1.04808e+01,4.16939e+00
9.51335e+02,1.11695e+03,5.50654e+02,4.38016e+00,-1.97266e+00
2.12276e+03,6.01648e+02,2.50217e+02,3.39644e+00,3.30392e-01
1.69312e+03,2.55654e+03,1.94714e+03,6.98975e-02,-1.20669e+00
1.96436e+03,1.81835e+03,9.04837e+02,5.53729e+00,3.20428e+00
2.97526e+03,2.05492e+03,1.88801e+03,1.00915e+00,-4.47114e+00
1.81615e+03,2.62355e+03,2.54441e+03,6.74602e+00,2.58697e+00
2.96802e+03,2.37077e+03,2.83703e+03,1.07768e+01,-1.83390e+00
2.40846e+03,1.29385e+03,1.05949e+02,9.78685e+00,-6.04184e+00
1.56171e+03,9.63094e+02,2.82084e+03,5.07329e+00,2.77071e+00
1.40051e+03,1.68770e+03,1.95861e+03,1.17129e+01,-2.94151e+00
1.19204e+03,1.57046e+03,1.20686e+03,2.24178e-01,-3.42156e+00
2.91372e+03,9.19606e+02,2.14962e+03,1.53692e+00,1.78795e+00
1.62285e+03,1.56704e+03,2.94866e+03,9.73617e+00,2.34182e+00
2.92350e+02,2.06238e+03,1.02705e+03,5.62716e+00,-5.17574e+00
5.20350e+02,2.68093e+03,2.38787e+03,7.67956e+00,2.37434e+00
8.86402e+02,2.13697e+03,5.64970e+02,8.22550e+00,1.78068e+00
9.29924e+02,1.17923e+03,2.25610e+03,1.95027e+00,7.26821e-01
2.21398e+03,2.77138e+03,1.50599e+03,5.85427e+00,-2.82074e+00
1.75216e+02,2.08815e+03,2.24998e+03,1.37377e+00,5.61883e+00
1.86245e+03,7.74494e+02,1.37566e+02,1.23365e+01,-2.86211e-01
1.23173e+03,2.62451e+03,9.52907e+02,7.89419e+00,2.27378e+00
3.26501e+02,1.18452e+03,5.73575e+02,3.49893e+00,-3.70790e+00
4.52681e+02,4.07133e+02,1.07708e+03,9.46077e+00,2.83663e+00
1.04525e+03,1.60135e+03,7.08097e+02,8.59993e+00,-4.12730e+00
1.87422e+03,1.22284e+03,1.43487e+03,1.13055e+01,-2.41951e+00
1.81618e+03,1.92818e+03,3.12679e+02,8.02807e+00,1.33893e+00
1.66609e+03,3.60136e+02,1.61494e+03,9.66643e+00,5.90663e-01
2.17814e+03,7.09384e+02,2.67593e+03,3.28952e+00,1.02799e+00
2.07439e+02,1.89710e+03,7.09241e+02,5.92332e+00,4.62949e+00
1.64453e+03,6.59966e+02,1.50169e+03,7.90705e+00,2.19640e+00
5.68903e+02,2.53359e+03,1.37672e+03,5.32797e-01,-5.53716e-01
1.31814e+03,2.42979e+02,2.43260e+03,1.21924e+01,2.49632e+00
2.45240e+03,2.45541e+03,2.58864e+02,2.02131e+00,-5.84279e+00
9.22631e+02,3.41122e+02,2.67587e+02,6.28034e+00,-6.23102e+00
1.22009e+03,5.40900e+02,1.02325e+03,1.18780e+01,-5.56011e+00
1.47503e+03,1.09087e+02,1.30483e+03,3.60168e+00,-4.93640e+00
2.61899e+03,1.07620e+03,1.44190e+03,6.71720e+00,5.67451e+00
9.15373e+02,6.11557e+02,5.75811e+02,8.13212e+00,3.59449e+00
9.83646e+02,2.51261e+03,2.54662e+03,1.66556e+00,4.95514e+00
5.10700e+02,2.98532e+02,1.26783e+03,9.79157e+00,-2.70818e+00
3.86332e+02,7.31581e+02,2.64203e+03,6.00343e+00,2.56295e+00
3.93993e+02,1.36819e+03,3.85292e+02,1.87471e+00,-2.65359e+00
1.99011e+03,1.71539e+02,2.98135e+03,1.34166e+00,4.60333e+00
2.54187e+03,1.28008e+03,1.84242e+03,8.65740e+00,2.36416e+00
1.64170e+03,4.15169e+02,2.34967e+03,3.80176e-01,1.82915e+00
1.14299e+03,1.30430e+03,1.24072e+03,4.53176e+00,4.72334e+00
2.86149e+02,3.05363e+02,9.33786e+02,5.06322e+00,5.80918e+00
2.36438e+03,6.41101e+02,1.98420e+03,2.67731e+00,-4.22406e+00
2.76683e+03,2.74956e+02,1.36247e+03,1.21240e+01,1.12975e+00
1.42904e+02,4.88438e+02,1.47087e+02,5.91329e-01,-3.95985e+00
1.44688e+03,2.95132e+03,2.90402e+03,2.29245e+00,5.96891e+00
7.85513e+02,1.29521e+03,2.48813e+03,7.26965e+00,7.01091e-01
7.79877e+02,1.43760e+03,7.76373e+01,9.08287e+00,-2.06340e+00
2.80940e+03,1.74351e+03,1.98152e+02,1.14103e+01,3.25229e+00
2.38483e+03,2.93121e+03,4.95138e+02,3.77694e+00,6.01031e+00
1.79465e+02,1.22531e+02,2.04763e+03,1.05443e+01,1.28839e+00
1.41278e+03,3.76499e+02,1.86417e+03,1.14731e+01,4.21394e+00
2.39737e+03,1.26609e+03,1.70669e+03,5.49301e+00,-8.34959e-01
4.27552e+02,4.36608e+02,2.11793e+03,5.90331e+00,-9.61990e-01
1.73163e+03,2.05302e+03,1.56308e+03,1.67064e+00,4.63430e+00
7.86164e+02,2.47872e+03,1.64425e+03,2.76830e+00,1.57330e+00
7.21406e+02,5.46016e+01,2.56362e+03,2.09770e+00,1.35259e+00
2.21149e+02,6.64328e+02,1.16170e+03,3.00812e+00,5.37399e+00
4.91706e+02,2.03831e+03,1.92281e+02,9.85147e+00,-6.63364e-01
1.65782e+03,6.32924e+02,2.53237e+03,2.24551e+00,-1.68386e+00
1.60263e+03,5.00527e+02,9.62802e+02,5.91279e+00,4.52192e+00
1.96625e+03,1.85925e+03,1.37415e+03,1.00096e+01,5.51724e-01
1.53091e+03,1.57148e+03,2.10003e+03,5.26716e+00,4.45535e+00
2.96861e+03,1.06282e+03,1.52498e+03,7.47707e+00,1.24758e-01
1.94466e+03,1.73792e+03,2.47616e+03,8.75813e-01,1.45619e+00
2.91702e+03,9.53835e+02,1.09708e+03,6.41252e+00,-3.02003e+00
2.47515e+03,1.94096e+02,2.57024e+03,2.74477e+00,6.91529e-01
1.52704e+03,1.89138e+03,2.91567e+03,1.44934e+00,-5.59231e+00
1.46457e+02,2.87886e+03,7.27905e+02,4.61803e+00,4.52481e+00
2.16337e+03,1.87255e+03,1.72443e+03,9.81735e+00,-3.01453e+00
1.38000e+03,1.24573e+02,9.34643e+02,2.97189e+00,-3.98322e-01
2.58990e+03,4.00175e+02,6.99795e+02,1.18895e+00,2.37160e+00
2.09354e+03,2.23619e+03,2.32949e+03,8.49114e+00,-4.25529e+00
2.29657e+03,2.57811e+03,1.48760e+02,3.49262e+00,3.65669e+00
1.15756e+03,4.68585e+02,2.33389e+03,8.92365e+00,5.78609e+00
3.84047e+02,2.20835e+03,6.60837e+02,3.13422e+00,-4.45057e+00
6.19263e+02,7.46767e+01,1.74655e+03,1.07767e+01,-1.61995e+00
8.73937e+02,2.62571e+03,1.89041e+03,1.19851e+01,1.33840e+00
